AnimalID;Breed;ShotsDate;Sex;ReceiptNumber;DateImpounded;PitNumber;Name;KennelNumber;DispositionDate;Color;Code;ApproxWeight;Age category;Source;Status;ACO;EnteredBy
15778;Labrador Retriever;;M/N;205311kb;2007-12-14;20030;Ben;200;;Yellow;;65 lbs.;;HOLDING STRAY;Redeemed;14;Ching Koo
15788;Cavalier King Charles Spaniel;;F/S;206430kb;2007-12-21;20073;Clara (now Jhada);200;;Black&Tan;;15lbs;;HOLDING STRAY;Sold;21;Guy Palanuik
15795;GSD;;F;206357kb;2007-12-22;20082;Jeda;200;;Black/Tan;;80 lbs;;HOLDING STRAY;Redeemed;20;Deb Thomas
15797;Pug;;M;182550kb;2007-12-22;20066;Herman;200;;Black;;10 lbs;;BROUGHT-IN;Redeemed;12;Jeanette Nelson
15802;Wheaten Terrier X;;M/N;206419kb;2007-12-27;20032;Rags;200;;Grey;;;;BROUGHT-IN;Redeemed;;Brad1 Martin
15807;German Shepherd;2008-10-20;M/N;08157295;2008-01-03;20063;Max;200;;Sable;;;;HOLDING STRAY;Redeemed;14;Ching Koo
15811;Bassett Hound;;F;ddk;2007-12-31;20023;Harley;200;;Tan;;60;;BROUGHT-IN;Redeemed;;Brad1 Martin
15815;Siberian Husky;2007-11-22;M/N;;2007-11-16;10048;Tyson;100;;Red/White;;55;;BROUGHT-IN;Transferred;;Katie Ernst
15819;Pitbull  X;;F/S;;2007-08-08;20084;Sarah;200;;Tan & White;;60 lbs;;OTHER;Sold;;Arlene Kumar
15820;Samoyed;2007-12-06;M/N;25721rf4;2007-11-20;10094;Blizzard;100;;White;;31.2 kg;;COMPLAINT;Health;3;Bob Cristofoli
15821;Terrier X Dachshund;2008-10-20;F;;2007-03-01;10000;Ginger;100;;Red Wheaten;;23lbs;;COMPLAINT;Health;;Jez Figol
15823;Rabbit;2008-10-20;F/S;;2007-04-05;10000;Clover;100;;Grey;;;;POLICE-DAY;Transferred;5;Bill Stevenson
15825;Lhasa Apso X;2007-01-04;M/N;08-158619DA-TU;2007-12-27;20032;Fraggle;200;;White & Grey;;;;BROUGHT-IN;Sold;;Brad1 Martin
15827;Pit Bull;2008-01-26;M/N;08/161973 rf;2007-12-28;2005;Hershal;200;;Brindle;;55;;BROUGHT-IN;Sold;14;Brad1 Martin
15833;Presa Canario X;2008-12-04;M;08-156495;2008-01-01;20074;Hugo;200;;Brindle;;;;HOLDING STRAY;Redeemed;;Karen Sinclair
15838;Shepherd Mix;2008-12-10;M/N;25342 - skj;2008-01-02;20073;Casio;200;;Tan;;75lbs;;HOLDING STRAY;Redeemed;21;Guy Palanuik
15839;Labrador Retriever;;F;25341-TU;2008-01-02;20063;Scratchy;200;;Yellow;;75;;HOLDING STRAY;Redeemed;3;Bob Cristofoli
15840;Ret X Chow;;F/S;08/160835 rf4;2008-01-03;20028;Carnie (now Scooter);200;;Gold;;44 lbs;;HOLDING STRAY;Sold;;Mariana Ardeleanu
